time,X
18.26,-0.40266094129627
18.27,-0.443602545311289
18.28,-0.485719845492069
18.29,-0.529575465139857
18.3,-0.575720061559038
18.31,-0.624701439133972
18.32,-0.677073286830156
18.33,-0.733403638281737
18.34,-0.794283152896675
18.35,-0.860333314525747
18.36,-0.932214640237323
18.37,-1.01063498561862
18.38,-1.09635802437843
18.39,-1.19021196818009
18.4,-1.29309857652235
18.41,-1.40600248456939
18.42,-1.53000084695723
18.43,-1.66627325485093
18.44,-1.81611182797444
18.45,-1.98093130777666
18.46,-2.16227887552362
18.47,-2.36184328105903
18.48,-2.58146268294636
18.49,-2.82313035443479
18.5,-3.08899708467313
18.51,-3.38136867994571
18.52,-3.70269642174053
18.53,-4.05555764234309
18.54,-4.44262298897659
18.55,-4.86660459693492
18.56,-5.33018042796953
18.57,-5.83588717927045
18.58,-6.3859726821924
18.59,-6.9821980059941
18.6,-7.62557939621057
18.61,-8.31606070593935
18.62,-9.05210968528929
18.63,-9.83023992267287
18.64,-10.6444701514558
18.65,-11.4857532880777
18.66,-12.3414316182882
18.67,-13.1948080024127
18.68,-14.0249546765453
18.69,-14.8069063534992
18.7,-15.5123844794059
18.71,-16.1111601166924
18.72,-16.5730697459664
18.73,-16.8705548928846
18.74,-16.9814295552571
18.75,-16.891441552361
18.76,-16.5961419027484
18.77,-16.1016819220512
18.78,-15.424331470153
18.79,-14.5888124724213
18.8,-13.6257842061476
18.81,-12.5689536715223
18.82,-11.4522833339901
18.83,-10.3076687688182
18.84,-9.16327570808317
18.85,-8.04258229545328
18.86,-6.96403706182167
18.87,-5.94119422649174
18.88,-4.98316013348758
18.89,-4.09521138563433
18.9,-3.27947514918759
18.91,-2.53559246110381
18.92,-1.86132469852369
18.93,-1.25307673200169
18.94,-0.706332277725426
18.95,-0.216003542037588
18.96,0.223294601629314
18.97,0.617036810904203
18.98,0.970634552162597
18.99,1.28932783957352
19,1.57811274651837
19.01,1.84169659402799
19.02,2.08447475491417
19.03,2.31052322120073
19.04,2.52360305961256
19.05,2.72717302554654
19.06,2.9244076179494
19.07,3.11821853998021
19.08,3.31127716718001
19.09,3.50603746644925
19.1,3.70475755901867
19.11,3.90951901863621
19.12,4.12224325074979
19.13,4.34470403437894
19.14,4.5785355059528
19.15,4.82523484457827
19.16,5.08615886629408
19.17,5.36251377561091
19.18,5.65533722638237
19.19,5.96547136752113
19.2,6.29352697818951
19.21,6.63983741695631
19.22,7.00440188632551
19.23,7.38681813927581
19.24,7.78620545259217
19.25,8.20111946683917
19.26,8.62946198019985
19.27,9.06839053148948
19.28,9.51423468726907
19.29,9.96242827839481
19.3,10.4074691289353
19.31,10.8429196865875
19.32,11.2614628389733
19.33,11.6550264000072
19.34,12.014986594756
19.35,12.3324548619204
19.36,12.5986433680196
19.37,12.805293409585
19.38,12.9451388215009
19.39,13.0123658185042
19.4,13.0030239550771
19.41,12.9153423943616
19.42,12.7499126712013
19.43,12.5097132048981
19.44,12.1999697567602
19.45,11.8278662947398
19.46,11.4021383924253
19.47,10.9325931303861
19.48,10.4296037553347
19.49,9.90362390285219
19.5,9.36476072119633
19.51,8.82242408002451
19.52,8.28507227549571
19.53,7.76004975005653
19.54,7.25351011397079
19.55,6.77041098461819
19.56,6.31456504739917
19.57,5.88873107176161
19.58,5.49472992531838
19.59,5.13357529811037
19.6,4.80560599946564
19.61,4.5106145723605
19.62,4.24796884900349
19.63,4.01672069657617
19.64,3.81570186060583
19.65,3.64360644709147
19.66,3.49906018242883
19.67,3.38067749027188
19.68,3.28710738122532
19.69,3.21706958485461
19.7,3.16938221117711
19.71,3.14298223118251
19.72,3.1369399480753
19.73,3.15046851167259
19.74,3.18292940510032
19.75,3.23383465316135
19.76,3.30284637068064
19.77,3.38977410456641
19.78,3.49457027520721
19.79,3.61732387632673
19.8,3.75825243826832
19.81,3.91769211050675
19.82,4.09608556095077
19.83,4.29396722597014
19.84,4.51194527414222
19.85,4.75067946692571
19.86,5.01085391640266
19.87,5.29314355958236
19.88,5.59817300478352
19.89,5.92646628079682
19.9,6.27838596758609
19.91,6.65406025790768
19.92,7.05329675945723
19.93,7.47548238401296
19.94,7.91946958849219
19.95,8.3834506478876
19.96,8.86482365968373
19.97,9.36005667271964
19.98,9.86455968244831
19.99,10.372578067602
20,10.8771249596588
20.01,11.369973340033
20.02,11.8417303381937
20.03,12.2820150024259
20.04,12.6797554574037
20.05,13.0236109423281
20.06,13.3025087224956
20.07,13.5062666619551
20.08,13.6262523503954
20.09,13.6560134648251
20.1,13.591806287168
20.11,13.4329536768566
20.12,13.1819812795213
20.13,12.8445096630846
20.14,12.4289127823421
20.15,11.9457847915683
20.16,11.4072808354094
20.17,10.8264076602871
20.18,10.2163356664805
20.19,9.58979245889869
20.2,8.95857356375302
20.21,8.33319197091479
20.22,7.72266450451324
20.23,7.13442051519245
20.24,6.57431172361905
20.25,6.0466987163777
20.26,5.55459021580692
20.27,5.09980981714231
20.28,4.68317779160799
20.29,4.3046918743535
20.3,3.96369860109715
20.31,3.65904926515886
20.32,3.38923854081346
20.33,3.15252297173828
20.34,2.94702083695045
20.35,2.77079393705046
20.36,2.62191326561401
20.37,2.49851046556078
